CODIGO;NOMBRE_DE_LA_ZONA;PROVINCIA;TEMP_MAX_AMARILLO;TEMP_MAX_NARANJA;TEMP_MAX_ROJO;TEMP_MIN_AMARILLO;TEMP_MIN_NARANJA;TEMP_MIN_ROJO;RACHA_MAX_AMARILLO;RACHA_MAX_NARANJA;RACHA_MAX_ROJO;PRECIP_12H_AMARILLO;PRECIP_12H_NARANJA;PRECIP_12H_ROJO;PRECIP_1H_AMARILLO;PRECIP_1H_NARANJA;PRECIP_1H_ROJO;NIEVE_24H_AMARILLO;NIEVE_24H_NARANJA;NIEVE_24H_ROJO
610401;Valle del Almanzora y Los Vélez;Almería;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
610402;Nacimiento y Campo de Tabernas;Almería;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
610403;Poniente y Almería Capital;Almería;36;39;42;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
610404;Levante almeriense;Almería;36;39;42;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
611101;Grazalema;Cádiz;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
611102;Campiña gaditana;Cádiz;38;40;44;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
611103;Litoral gaditano;Cádiz;36;39;42;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
611104;Estrecho;Cádiz;36;39;42;-1;-4;-8;80;100;140;40;80;120;15;30;60;2;5;20
611401;Sierra y Pedroches;Córdoba;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
611402;Campiña cordobesa;Córdoba;38;40;44;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
611403;Subbética cordobesa;Córdoba;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
611801;Cuenca del Genil;Granada;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
611802;Guadix y Baza;Granada;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
611803;Nevada y Alpujarras;Granada;36;39;42;-4;-8;-12;80;100;140;40;80;120;15;30;60;5;20;40
611804;Costa granadina;Granada;36;39;42;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
612101;Aracena;Huelva;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
612102;Andévalo y Condado;Huelva;38;40;44;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
612103;Litoral de Huelva;Huelva;36;39;42;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
612301;Morena y Condado;Jaén;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
612302;Cazorla y Segura;Jaén;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;5;20;40
612303;Valle del Guadalquivir de Jaén;Jaén;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
612304;Capital y Montes de Jaén;Jaén;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
612901;Antequera;Málaga;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
612902;Ronda;Málaga;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
612903;Sol y Guadalhorce;Málaga;36;39;42;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
614101;Sierra norte de Sevilla;Sevilla;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
614102;Campiña sevillana;Sevilla;38;40;44;-1;-4;-8;70;90;130;40;80;120;15;30;60;2;5;20
614103;Sierra sur de Sevilla;Sevilla;38;40;44;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
622201;Pirineo oscense;Huesca;34;37;40;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
622202;Centro de Huesca;Huesca;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
622203;Sur de Huesca;Huesca;36;39;42;-4;-8;-12;70;90;130;40;80;120;15;30;60;2;5;20
624401;Albarracín y Jiloca;Teruel;36;39;42;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
624402;Gúdar y Maestrazgo;Teruel;36;39;42;-6;-10;-14;80;100;140;40;80;120;15;30;60;5;20;40
